wav_filename,wav_filesize,transcript
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R032.wav,124044,CỦA NGƯỜI MẸ ĐANG PHẢI CẦM HƠI BẰNG LÁ CÂY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R033.wav,126044,HUN ĐÚC NÊN TINH THẦN THI ĐẤU QUẢ CẢM VỚI ĐỒNG THÁP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R034.wav,101044,KHÔNG DÈ LẦN LÊN COI THỬ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R035.wav,132044,NÊN VIỆC PHÁ RỪNG ĐỐT THAN NGÀY CÀNG TRỞ NÊN BỨC XÚC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R036.wav,135044,Ở ĐỜI PHÀM CÁI GÌ ĐÚNG THỜI CƠ MỚI ĐẠT HIỆU QUẢ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R037.wav,76044,CÒN CÓ TÁC DỤNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R038.wav,138044,DẤU HIỆU DUY NHẤT ĐỂ NHẬN RA KHO LÚA VĨNH THÀNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R039.wav,104044,NHƯNG RỒI CŨNG KHỔ SỞ ĐẾN DƯỜNG NÀO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R040.wav,142044,GIÁ CẢ THUỘC DẠNG VÔ CÙNG LÊN BỔNG XUỐNG TRẦM TẸP NHẸP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R041.wav,108044,NỮ THẦN TỰ DO VỚI BÀN TAY CẦM ĐUỐC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R042.wav,129044,NHỮNG CON SÂU TRÚNG THUỐC RƠI XUỐNG GIÃY GIỤA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R043.wav,93044,VỪA ĐI VỪA CA NGHÊU NGAO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R044.wav,108044,DƯỚI ĐÁY BIỂN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R045.wav,140044,NHỮNG SỢI BÚN ĐƯỢC CUỘN THÀNH DÂY CHÃO 
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R046.wav,106044,KHOANH TRÒN TRÊN TẤM LÁ CHUỐI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R047.wav,123044,RƠI VÀO CẢNH ĐÌU HIU BỞI DU KHÁCH THƯA THỚT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R048.wav,154044,SAU ĐÓ NHỮNG NGƯỜI NÀY ĐƯỢC TRẮC NGHIỆM KHẢ NĂNG GHI NHỚ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R049.wav,97044,MUỐN SÀNH ĐIỆU NGUYÊN CON
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R050.wav,143044,VỚI NHỮNG TRÀNG PHÁO TAY VÀ TIẾNG TRẦM TRỒ TÁN THƯỞNG KHÔNG NGỚT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R051.wav,97044,HI VỌNG Ở LẦN SINH NHẬT SAU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R052.wav,143044,THEO LUẬT NHÂN QUẢ MÀ GẦN ĐÂY KHOA HỌC ĐÃ CHỨNG MINH ĐƯỢC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R053.wav,124044,ÔNG LƯỚT NHẸ NGÓN TAY GẦY GUỘC TRÊN NHỮNG CON CHỮ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R054.wav,135044,PHẢI DỪNG MÁY TÀU VÀ LẶN XUỐNG BIỂN DÙNG DAO MÀ CẮT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R055.wav,135044,VÀ MỘT NHÓM NGƯỜI ĐANG HÍ HÚI QUAY PHIM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R056.wav,136044,HAI BÀN CHÂN TÍ XÍU KIA MỚI ĐƯA ĐƯỢC CÁC EM VỀ TỚI NHÀ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R057.wav,66044,CHẢY NHÃO DƯỚI NẮNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R058.wav,148044,TÔI XIN PHÉP RA NGOÀI VỊ GIÁM THỊ TRẺ XẴNG GIỌNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R059.wav,128044,NHƯNG THỰC RA CÓ THỂ KHÔNG PHẢI LÀ NHƯ VẬY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R060.wav,120044,DÁC DÁO DÁC TÌM GIÚP VIỆC SAU TẾT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R061.wav,148044,NÊN ĐẶT BÚT KÝ HỢP ĐỒNG CHO THUÊ VỚI GIÁ BÈO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R062.wav,116044,TÔI KHÔNG SỢ CON ĐƯỜNG DẰNG DẶC TỪ THỊ THÀNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R063.wav,108044,MỘT NGƯỜI GÁNH NƯỚC DƯỚI KHE SUỐI LÊN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R064.wav,86044,SÀNG SẢY THÓC NGAY NGÕ GẠCH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R065.wav,116044,NGAY CẢ NỀN SẢN XUẤT HIỆN ĐẠI NHƯ MỸ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R066.wav,150044,VỀ HÀNH VI TRUYỀN BÁ VĂN HÓA PHẨM ĐỒI TRỤY KHÔNG NGUỒN GỐC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R067.wav,150044,CÓ THỂ ĐÂY LÀ CÁI CẠM BẪY PHÁ HOẠI CỦA BỌN PHẢN ĐỘNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R068.wav,165044,NẾU TẬP TRUNG TẠI TRUNG TÂM HUẤN LUYỆN THỂ THAO QUỐC GIA I NHỔN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R069.wav,134044,CHIẾN KHU RỪNG SÁC LÀ MỘT VÙNG ĐẦM LẦY NƯỚC MẶN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R070.wav,102044,KHIẾN CHIẾC THUYỀN TRÒNG TRÀNH RỒI LẬT NHÀO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R071.wav,111044,CÓ THỂ CHO ÍT NƯỚC MUỐI VÀO LÒNG BÀN TAY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R072.wav,106044,TÔI TÌNH CỜ PHÁT HIỆN KHẢ NĂNG HÚT THÌA MUỖNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R073.wav,103044,KHI CẢ HAI VỪA CHIẾN THẮNG NGOẠN MỤC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R074.wav,124044,TÔI ĐÃ TRẢI QUA GIÂY PHÚT NHIỄM SÉT NHƯ THẾ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R075.wav,113044,ĐÃ ĐẠT GẦN ĐẾN CHUẨN QUỐC TẾ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R076.wav,140044,KHI LÀM MỚI CHỦ YẾU LÀ TRÁNG NHỰA CHỨ KHÔNG MỞ RỘNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R077.wav,154044,TÌM CÁCH LẬT MẶT KẺ CẬY QUYỀN GIỮA CHỐN CÔNG ĐƯỜNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R078.wav,64044,DỰNG CỨ DỰNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R079.wav,74044,UY TÍN CỦA MỘT PHÓNG VIÊN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R080.wav,108044,MỘT LÒ GẠCH CHÔNG CHÊNH TRÊN SƯỜN ĐỒI 
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R081.wav,96044,GIỮA QUẠNH HIU LÁ CỎ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R082.wav,91044,BEN THẤY HỮU THẬT BUỒN CƯỜI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R083.wav,134044,CHÚNG TA LÀM CHO MỌI THỨ RỐI TUNG LÊN 
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R084.wav,82044,HẾT LẦN NÀY ĐẾN LẦN KHÁC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R085.wav,132044,LÊ THỊ HỒNG NGỌC CHỦ QUÁN CƠM NIÊU TRÊN ĐƯỜNG TÚ XƯƠNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R086.wav,118044,VỤ VIỆC CHỈ KẾT THÚC SAU CUỘC ĐỘT KÍCH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R087.wav,111044,BẰNG MỌT CÚ SÚT XA ĐẸP MẮT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R088.wav,120044,NÓI CÂU GÌ CŨNG PHẢI CÓ ĐẦU CÓ ĐUÔI 
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R089.wav,84044,CHỚ KHÔNG ĐƯỢC NÓI NHĂNG NHÍT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R090.wav,161044,KHÔNG ĐƯỢC LẤY QUE CỜI GÕ GÕ LÊN TẤM LƯNG CÒNG CỦA CÁC NGÀI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R091.wav,138044,LUÔN SĂN ĐẦU KHÁCH VỚI NHỮNG LỜI NŨNG NỊU ĐẾN MỀM LÒNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R092.wav,143044,LÀM THỔI TUNG CẢ MỘT ĐỘI QUÂN CỦA KẺ THÙ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R093.wav,119044,CẢM THẤY XÚC ĐỘNG TRƯỚC MỘT ĐIỀU GÌ ĐÓ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R094.wav,146044,LÀM DÃY NHÀ CHO THUÊ CỦA MỘT HỘ DÂN PHẢI BỎ TRỐNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R095.wav,89044,TIÊU HỦY TẤT CẢ CÁC BẦY ĐÀN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R096.wav,122044,MÀ NHÀ CỬA VÀ CÔNG VIỆC CHẲNG ĐÂU VÀO ĐÂU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R097.wav,114044,BÀ CON TRONG XÓM ĐẾN DỰ RÌNH RANG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R098.wav,101044,CHỈ CHĂM CHẮM VÀO NHỮNG ĐỐI TƯỢNG CAO CẤP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R099.wav,98044,LÙNG SỤC MUA HEO BỆNH CHỞ ĐI GIẾT MỔ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R100.wav,162044,CHÚNG XẨY NHÀ RA BỤI ĐỜI ĐI GIẬT DỌC ĐÂM CHÉM QUẬY PHÁ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R101.wav,58044,TUẦN RỒI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R102.wav,81044,HUỲNH PHƯƠNG ĐÔNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R103.wav,168044,HIỆN CÔNG AN PHƯỜNG CỐC LẾU ĐANG HOÀN CHỈNH HỒ SƠ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R104.wav,142044,MÀ LỢN CÓ KHI CHI PHÍ NUÔI KHÔNG ĐỦ HUỀ VỐN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R105.wav,143044,CÓ KHI ANH ẤY NÓI NĂNG LỖ MÃNG VÀ ĐÁNH EM NỮA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R106.wav,136044,NHƯ THÍCH ĐI CHẦM CHẬM TRÊN NHỮNG CON ĐƯỜNG QUÊ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R107.wav,146044,CHO VIỆC PHÁT TRIỂN SỰ NGHIỆP CỦA HỌ TẠI VIỆT NAM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R108.wav,94044,THỬ ĐỊA KHÔNG DƯ HOÀNG HẠC LÂU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R109.wav,163044,MỆ NÓI MUỐN NẤU ĂN NGON PHẢI GỬI GẮM TÂM TRẠNG MÌNH VÀO TRONG ĐÓ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R110.wav,122044,HIẾM KHI LẶP LẠI NHỮNG CÂU ĐÃ NÓI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R111.wav,140044,TÔI SẼ KHÔNG CỐ GẮNG ĐỂ BÁN CHÚNG HAY TRƯNG BÀY CHÚNG NỮA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R112.wav,101044,LỜI KHUYÊN HỮU ÍCH DÀNH CHO BẠN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R113.wav,155044,MÀ NHỮNG MÁI HIÊN NÀY CÒN CÓ ĐƯỢC SỰ RIÊNG TƯ CẦN THIẾT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R114.wav,136044,MINH ĐẾN PHÒNG TẬP THỂ HÌNH CỦA TRƯỜNG ĐỂ NÂNG TẠ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R115.wav,106044,TẾT NĂM NGOÁI CẢ NHÀ CHÍN MIỆNG ĂN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R116.wav,87044,VẠT ÁO SỄ XUỐNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R117.wav,130044,CHỨ KHÔNG PHẢI LÀ TỪ CÁC YÊU CẦU RIÊNG LẺ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R118.wav,108044,CÔNG NGHỆ NÀY SỬ DỤNG NGUYÊN LIỆU ĐẬU NÀNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R119.wav,79044,KHI TÊN LỬA BAY LÊN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R120.wav,113044,HẬU QUẢ CỦA NHỮNG TRẬN SÊN HÚT MÁU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R121.wav,166044,NẰM ẨN MÌNH TRONG VƯỜN CÂY PHÍA SAU DÃY PHỐ ỒN ÀO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R122.wav,114044,PHẦN NÀO MANG TÍNH ĐIỀU HÒA THỊ TRƯỜNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R123.wav,148044,TỤI CON CÒN DỄ NHỚ HƠN PHIÊN ÂM RA LOẰNG NGOẰNG QUÁ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R124.wav,107044,MANG TÍNH CƠ HỘI TRONG THỊ HIẾU PHÁP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R125.wav,146044,NHỮNG TRÀNG VỖ TAY VANG DỘI NHƯ THỜI HÁT NHÓM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R126.wav,124044,CHỈ HOÀN THÀNH NHÕN BA CÂY SỐ KHÚC GIỮA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R127.wav,159044,BAN TÀI CHÍNH QUẢN TRỊ TRUNG ƯƠNG THUỘC VĂN PHÒNG TRUNG ƯƠNG ĐẢNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R128.wav,141044,VÌ CHỈ CÓ MẸ LÀ NGƯỜI DANG RỘNG VÒNG TAY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R129.wav,162044,ĐƯỜNG VÀO HANG PHẢI QUA NHIỀU ĐOẠN NGOẰN NGOÈO VỚI CÁC HỒ NƯỚC SÂU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R130.wav,110044,GIÚP HÃNG TĂNG THỊ PHẦN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R131.wav,102044,HỪNG HỰC ĐẾN TẬN NỬA ĐÊM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R132.wav,168044,SAU ĐÓ VẼ THÊM CÁC NÉT PHÁC HỌA MÀU ĐEN VÀO LÚC KHÁC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R133.wav,92044,RẤT NHIỀU NGƯỜI DÂN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R134.wav,161044,ĐỀU QUAY CUỒNG ĐƠN GIẢN LÀ DO BẠN ĐÃ QUÁ CHÉN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R135.wav,128044,VÀ SẮP XẾP THEO ĐÚNG BỐI CẢNH PHIM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R136.wav,146044,VÀ ĐÃ ĐƠN PHƯƠNG YÊU TỪ MỘT PHÍA NHƯ VẬY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R137.wav,172044,MỖI TUẦN TÔI LẠI CÓ MỘT CHUYẾN RỜ TUA TRÀ VINH SÀI GÒN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R138.wav,100044,BÊN DƯỚI MỘT HÀNG CHỮ MẢNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R139.wav,168044,TRONG TÔI PHẢI TỰ RĂN MÌNH ĐỪNG BAO GIỜ TỰ HUYỄN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R140.wav,124044,MÀ SẼ CÓ CÁCH RA ĐỀ PHÙ HỢP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R141.wav,174044,HÀ ANH TUẤN MỘT NGÔI SAO ĐIỂM HẸN MỚI TOANH CŨNG THỪA NHẬN MÙ NHẠC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R142.wav,160044,CÓ THÊM NIỀM VUI MỚI LÀ RA TẮM GIỮA CÁC HŨM NƯỚC CẠN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R143.wav,117044,MANG HÌNH DÁNG CỦA MỘT CON KHỈ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R144.wav,55044,DOANH DOANH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R145.wav,126044,NGAY CẢ TRƯỚC KHI NÓ ĐƯỢC CHÍNH THỨC CÔNG BỐ
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R146.wav,80044,ANH LÝ CHẠY XE ÔM
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R147.wav,84044,VIỆC ĐẦU TIÊN TÔI NGHĨ ĐẾN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R148.wav,168044,NẤU NGUỘI NGẬM GỚM CÁI MÓN THỊT GÀ CỨ DAI NGOÁCH CẢ RA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R149.wav,145044,Ờ THẰNG ĐÓ CHÁU NỘI TƯ XẠO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R150.wav,84044,TRONG SUỐT THẾ KỶ QUA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R151.wav,94044,HAY THÂM TÍM CHẬM LÀNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R152.wav,106044,THƯỜNG CUNG CẤP NHỮNG MANH MỐI
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R153.wav,176044,NHƯNG VẪN KHÔNG SÁNH BẰNG NỖI ĐAU CỦA MỘT CON NGƯỜI BỊ CHÀ ĐẠP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R154.wav,105044,CHO SƠN CHẢY THẲNG LÊN GIẤY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R155.wav,134044,NGÀY THƯỜNG MẮT TRƯỚC MẮT SAU GỒNG GÁNH CHẠY PHẠT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R156.wav,164044,CỨ ĐẶT CON DAO DÍNH TIẾT TRÊN CÁI DĨA
